OID_,FID,X,Y,Extract_GALa_Crop_Flw_M
1,0,-93.531098436763500,44.078019660989192,19.920970704999998
2,1,-93.531098436763500,44.077980660989198,22.450733609000000
3,2,-93.531098436763500,44.077941660989190,23.672588772000001
4,3,-93.531098436763500,44.077902660989189,23.720400068000000
5,4,-93.531098436763500,44.077863660989195,24.380666945000002
6,5,-93.531098436763500,44.077824660989201,24.820508320999998
7,6,-93.531098436763500,44.077785660989193,23.563696542999999
8,7,-93.531098436763500,44.077746660989192,22.460312736999999
9,8,-93.531098436763500,44.077707660989184,23.461416244999999
10,9,-93.531098436763500,44.077668660989190,22.856642828999998
11,10,-93.531098436763500,44.077629660989189,22.524413638999999
12,11,-93.531098436763500,44.077590660989195,19.541837904000001
13,12,-93.531098436763500,44.077551660989187,16.373476504999999
14,13,-93.531098436763500,44.077512660989193,18.239131926999999
15,14,-93.531098436763500,44.077473660989192,21.319428762000001
16,15,-93.531098436763500,44.077434660989191,24.076274024000000
17,16,-93.531098436763500,44.077395660989190,25.431491004000002
18,17,-93.531098436763500,44.077356660989189,24.676283094999999
19,18,-93.531098436763500,44.077317660989195,23.877938799999999
20,19,-93.531098436763500,44.077278660989194,24.019936878999999
21,20,-93.531098436763500,44.077239660989193,21.888050926999998
22,21,-93.531098436763500,44.077200660989192,21.982275433000002
23,22,-93.531098436763500,44.077161660989191,21.528539234000000
24,23,-93.531098436763500,44.077122660989197,17.694550620000001
25,24,-93.531098436763500,44.077083660989189,18.972898058999998
26,25,-93.531098436763500,44.077044660989195,21.008959134000001
27,26,-93.531098436763500,44.077005660989194,21.123476663999998
28,27,-93.531098436763500,44.076966660989186,18.364221785000002
29,28,-93.531098436763500,44.076927660989192,19.258715523999999
30,29,-93.531098436763500,44.076888660989191,19.120926750999999
31,30,-93.531098436763500,44.076849660989190,17.559175279000002
32,31,-93.531098436763500,44.076810660989189,17.030911339999999
33,32,-93.531059436763513,44.078019660989192,21.696812735999998
34,33,-93.531059436763513,44.077980660989198,23.843987571000000
35,34,-93.531059436763513,44.077941660989190,24.990725834999999
36,35,-93.531059436763513,44.077902660989189,23.831252628000001
37,36,-93.531059436763513,44.077863660989195,23.335971407999999
38,37,-93.531059436763513,44.077824660989201,24.722621918000002
39,38,-93.531059436763513,44.077785660989193,23.607930819000000
40,39,-93.531059436763513,44.077746660989192,21.813897450999999
41,40,-93.531059436763513,44.077707660989184,22.401091894000000
42,41,-93.531059436763513,44.077668660989190,22.529515371999999
43,42,-93.531059436763513,44.077629660989189,22.096112780999999
44,43,-93.531059436763513,44.077590660989195,17.865154159999999
45,44,-93.531059436763513,44.077551660989187,15.089030425000001
46,45,-93.531059436763513,44.077512660989193,17.645006179999999
47,46,-93.531059436763513,44.077473660989192,21.988419003000001
48,47,-93.531059436763513,44.077434660989191,24.751893573000000
49,48,-93.531059436763513,44.077395660989190,25.858019298999999
50,49,-93.531059436763513,44.077356660989189,25.466815313000001
51,50,-93.531059436763513,44.077317660989195,24.380163617000001
52,51,-93.531059436763513,44.077278660989194,23.707808812000000
53,52,-93.531059436763513,44.077239660989193,21.466034571000002
54,53,-93.531059436763513,44.077200660989192,22.259840012000002
55,54,-93.531059436763513,44.077161660989191,21.146712832999999
56,55,-93.531059436763513,44.077122660989197,17.432160060000001
57,56,-93.531059436763513,44.077083660989189,19.139437781000002
58,57,-93.531059436763513,44.077044660989195,20.108521779000000
59,58,-93.531059436763513,44.077005660989194,20.068466610000002
60,59,-93.531059436763513,44.076966660989186,18.016610674999999
61,60,-93.531059436763513,44.076927660989192,18.692775302000001
62,61,-93.531059436763513,44.076888660989191,18.885158326999999
63,62,-93.531059436763513,44.076849660989190,17.298332001999999
64,63,-93.531059436763513,44.076810660989189,16.846996943000001
65,64,-93.531020436763498,44.078019660989192,23.228010813000001
66,65,-93.531020436763498,44.077980660989198,24.203485701000002
67,66,-93.531020436763498,44.077941660989190,24.864995108999999
68,67,-93.531020436763498,44.077902660989189,24.188865450000002
69,68,-93.531020436763498,44.077863660989195,23.074100917999999
70,69,-93.531020436763498,44.077824660989201,23.846791584999998
71,70,-93.531020436763498,44.077785660989193,23.372716268000001
72,71,-93.531020436763498,44.077746660989192,21.687107934000000
73,72,-93.531020436763498,44.077707660989184,21.583532969000000
74,73,-93.531020436763498,44.077668660989190,22.052206463000001
75,74,-93.531020436763498,44.077629660989189,21.128319634000000
76,75,-93.531020436763498,44.077590660989195,16.282139460000000
77,76,-93.531020436763498,44.077551660989187,14.462692579000000
78,77,-93.531020436763498,44.077512660989193,17.543890847000000
79,78,-93.531020436763498,44.077473660989192,22.663691626999999
80,79,-93.531020436763498,44.077434660989191,25.420002831000001
81,80,-93.531020436763498,44.077395660989190,26.124908234999999
82,81,-93.531020436763498,44.077356660989189,25.787621604000002
83,82,-93.531020436763498,44.077317660989195,23.985890705999999
84,83,-93.531020436763498,44.077278660989194,22.861763954000001
85,84,-93.531020436763498,44.077239660989193,21.070195940000001
86,85,-93.531020436763498,44.077200660989192,21.537732441999999
87,86,-93.531020436763498,44.077161660989191,20.959093306000000
88,87,-93.531020436763498,44.077122660989197,18.058348762000001
89,88,-93.531020436763498,44.077083660989189,19.115486144999998
90,89,-93.531020436763498,44.077044660989195,19.223089536000000
91,90,-93.531020436763498,44.077005660989194,19.043124304999999
92,91,-93.531020436763498,44.076966660989186,17.435122384000000
93,92,-93.531020436763498,44.076927660989192,18.545580334000000
94,93,-93.531020436763498,44.076888660989191,18.853565639999999
95,94,-93.531020436763498,44.076849660989190,17.076337389999999
96,95,-93.531020436763498,44.076810660989189,16.412146673999999
97,96,-93.530981436763511,44.078019660989192,23.842931111999999
98,97,-93.530981436763511,44.077980660989198,24.429637909000000
99,98,-93.530981436763511,44.077941660989190,24.497689565000002
100,99,-93.530981436763511,44.077902660989189,24.395855586000000
101,100,-93.530981436763511,44.077863660989195,23.432750702000000
102,101,-93.530981436763511,44.077824660989201,23.072285969999999
103,102,-93.530981436763511,44.077785660989193,22.781278610000001
104,103,-93.530981436763511,44.077746660989192,21.357067743999998
105,104,-93.530981436763511,44.077707660989184,21.517047563999999
106,105,-93.530981436763511,44.077668660989190,21.937871614999999
107,106,-93.530981436763511,44.077629660989189,20.487401962000000
108,107,-93.530981436763511,44.077590660989195,15.299224218000001
109,108,-93.530981436763511,44.077551660989187,14.299293041000000
110,109,-93.530981436763511,44.077512660989193,18.565910021000001
111,110,-93.530981436763511,44.077473660989192,23.450170198999999
112,111,-93.530981436763511,44.077434660989191,25.574482918000001
113,112,-93.530981436763511,44.077395660989190,26.097685813999998
114,113,-93.530981436763511,44.077356660989189,25.442217191000001
115,114,-93.530981436763511,44.077317660989195,22.949712753000000
116,115,-93.530981436763511,44.077278660989194,21.682438850000000
117,116,-93.530981436763511,44.077239660989193,20.503082911000000
118,117,-93.530981436763511,44.077200660989192,20.819092433000002
119,118,-93.530981436763511,44.077161660989191,21.451628049000000
120,119,-93.530981436763511,44.077122660989197,19.046826363000001
121,120,-93.530981436763511,44.077083660989189,18.477835336999998
122,121,-93.530981436763511,44.077044660989195,18.666615963000002
123,122,-93.530981436763511,44.077005660989194,18.635940869999999
124,123,-93.530981436763511,44.076966660989186,16.984543800000001
125,124,-93.530981436763511,44.076927660989192,18.823184012999999
126,125,-93.530981436763511,44.076888660989191,19.107892354000001
127,126,-93.530981436763511,44.076849660989190,16.829952717000001
128,127,-93.530981436763511,44.076810660989189,15.427575428999999
129,128,-93.530942436763510,44.078019660989192,24.338932884999998
130,129,-93.530942436763510,44.077980660989198,25.058081945000001
131,130,-93.530942436763510,44.077941660989190,24.584131453000001
132,131,-93.530942436763510,44.077902660989189,24.698389476999999
133,132,-93.530942436763510,44.077863660989195,23.808337529999999
134,133,-93.530942436763510,44.077824660989201,22.790985107000001
135,134,-93.530942436763510,44.077785660989193,22.220499039000000
136,135,-93.530942436763510,44.077746660989192,21.027128007999998
137,136,-93.530942436763510,44.077707660989184,21.683854209000000
138,137,-93.530942436763510,44.077668660989190,22.033514234999998
139,138,-93.530942436763510,44.077629660989189,20.625792185000002
140,139,-93.530942436763510,44.077590660989195,15.864190208000000
141,140,-93.530942436763510,44.077551660989187,14.927934964000000
142,141,-93.530942436763510,44.077512660989193,20.717984729000001
143,142,-93.530942436763510,44.077473660989192,25.001072142000002
144,143,-93.530942436763510,44.077434660989191,25.808507707000000
145,144,-93.530942436763510,44.077395660989190,25.642889234999998
146,145,-93.530942436763510,44.077356660989189,24.423973930999999
147,146,-93.530942436763510,44.077317660989195,22.176572587999999
148,147,-93.530942436763510,44.077278660989194,21.140403429999999
149,148,-93.530942436763510,44.077239660989193,20.406227112000000
150,149,-93.530942436763510,44.077200660989192,20.971103880000001
151,150,-93.530942436763510,44.077161660989191,21.978613959000000
152,151,-93.530942436763510,44.077122660989197,19.270396762000001
153,152,-93.530942436763510,44.077083660989189,17.738205804000000
154,153,-93.530942436763510,44.077044660989195,18.486830711000000
155,154,-93.530942436763510,44.077005660989194,18.784976747000002
156,155,-93.530942436763510,44.076966660989186,17.320476108000001
157,156,-93.530942436763510,44.076927660989192,19.479620191999999
158,157,-93.530942436763510,44.076888660989191,19.178158018000001
159,158,-93.530942436763510,44.076849660989190,16.183216306999999
160,159,-93.530942436763510,44.076810660989189,13.899191856000000
161,160,-93.530903436763509,44.078019660989192,24.728678809000002
162,161,-93.530903436763509,44.077980660989198,25.464652167000001
163,162,-93.530903436763509,44.077941660989190,24.833379744999998
164,163,-93.530903436763509,44.077902660989189,24.998934003999999
165,164,-93.530903436763509,44.077863660989195,23.802338494000001
166,165,-93.530903436763509,44.077824660989201,22.699803670000001
167,166,-93.530903436763509,44.077785660989193,22.214856147999999
168,167,-93.530903436763509,44.077746660989192,21.395733938999999
169,168,-93.530903436763509,44.077707660989184,22.332682716000001
170,169,-93.530903436763509,44.077668660989190,22.661852095000000
171,170,-93.530903436763509,44.077629660989189,22.144293679000000
172,171,-93.530903436763509,44.077590660989195,19.632533602999999
173,172,-93.530903436763509,44.077551660989187,17.825664201999999
174,173,-93.530903436763509,44.077512660989193,23.168309529999998
175,174,-93.530903436763509,44.077473660989192,26.771472931000002
176,175,-93.530903436763509,44.077434660989191,25.949801127000001
177,176,-93.530903436763509,44.077395660989190,24.989788691000001
178,177,-93.530903436763509,44.077356660989189,23.375166999000001
179,178,-93.530903436763509,44.077317660989195,22.788067500000000
180,179,-93.530903436763509,44.077278660989194,22.050467809000001
181,180,-93.530903436763509,44.077239660989193,21.725284153000000
182,181,-93.530903436763509,44.077200660989192,21.672208785999999
183,182,-93.530903436763509,44.077161660989191,21.670676549000000
184,183,-93.530903436763509,44.077122660989197,18.877864202000001
185,184,-93.530903436763509,44.077083660989189,17.150408214999999
186,185,-93.530903436763509,44.077044660989195,18.409241676000001
187,186,-93.530903436763509,44.077005660989194,19.828886879999999
188,187,-93.530903436763509,44.076966660989186,18.531009462000000
189,188,-93.530903436763509,44.076927660989192,19.696499294999999
190,189,-93.530903436763509,44.076888660989191,18.960659663000001
191,190,-93.530903436763509,44.076849660989190,15.076885434999999
192,191,-93.530903436763509,44.076810660989189,12.323100196000000
193,192,-93.530864436763494,44.078019660989192,24.626769807999999
194,193,-93.530864436763494,44.077980660989198,24.953925239000000
195,194,-93.530864436763494,44.077941660989190,25.026898914000000
196,195,-93.530864436763494,44.077902660989189,25.046663072000001
197,196,-93.530864436763494,44.077863660989195,23.522652944000001
198,197,-93.530864436763494,44.077824660989201,22.575203790000000
199,198,-93.530864436763494,44.077785660989193,22.859044393000001
200,199,-93.530864436763494,44.077746660989192,22.089900334999999
201,200,-93.530864436763494,44.077707660989184,22.775729285000001
202,201,-93.530864436763494,44.077668660989190,23.597777896000000
203,202,-93.530864436763494,44.077629660989189,23.961383183999999
204,203,-93.530864436763494,44.077590660989195,22.940998288999999
205,204,-93.530864436763494,44.077551660989187,21.708367347999999
206,205,-93.530864436763494,44.077512660989193,24.944788403000000
207,206,-93.530864436763494,44.077473660989192,27.382869508999999
208,207,-93.530864436763494,44.077434660989191,25.583114412000000
209,208,-93.530864436763494,44.077395660989190,24.474021275999998
210,209,-93.530864436763494,44.077356660989189,23.263028887000001
211,210,-93.530864436763494,44.077317660989195,23.712762832999999
212,211,-93.530864436763494,44.077278660989194,23.329284986000001
213,212,-93.530864436763494,44.077239660989193,23.166868634000000
214,213,-93.530864436763494,44.077200660989192,22.299342261000000
215,214,-93.530864436763494,44.077161660989191,21.187190586000000
216,215,-93.530864436763494,44.077122660989197,18.703969743999998
217,216,-93.530864436763494,44.077083660989189,16.796212514000000
218,217,-93.530864436763494,44.077044660989195,18.514252344999999
219,218,-93.530864436763494,44.077005660989194,21.677237193000000
220,219,-93.530864436763494,44.076966660989186,19.902732213000000
221,220,-93.530864436763494,44.076927660989192,19.059235255000001
222,221,-93.530864436763494,44.076888660989191,18.758935293000000
223,222,-93.530864436763494,44.076849660989190,14.370815171000000
224,223,-93.530864436763494,44.076810660989189,11.643341594000001
225,224,-93.530825436763507,44.078019660989192,24.449930615000000
226,225,-93.530825436763507,44.077980660989198,23.873317506999999
227,226,-93.530825436763507,44.077941660989190,24.409352620000000
228,227,-93.530825436763507,44.077902660989189,24.466497209000000
229,228,-93.530825436763507,44.077863660989195,23.099769804000001
230,229,-93.530825436763507,44.077824660989201,22.313407049999999
231,230,-93.530825436763507,44.077785660989193,22.937012355000000
232,231,-93.530825436763507,44.077746660989192,21.923452801000000
233,232,-93.530825436763507,44.077707660989184,22.770535999000000
234,233,-93.530825436763507,44.077668660989190,24.083927155000001
235,234,-93.530825436763507,44.077629660989189,24.927115122000000
236,235,-93.530825436763507,44.077590660989195,24.086491902999999
237,236,-93.530825436763507,44.077551660989187,23.377576510000001
238,237,-93.530825436763507,44.077512660989193,25.328868866000001
239,238,-93.530825436763507,44.077473660989192,26.667436811999998
240,239,-93.530825436763507,44.077434660989191,25.049381256000000
241,240,-93.530825436763507,44.077395660989190,24.427318149000001
242,241,-93.530825436763507,44.077356660989189,23.867851257000002
243,242,-93.530825436763507,44.077317660989195,23.903984917999999
244,243,-93.530825436763507,44.077278660989194,23.912786801999999
245,244,-93.530825436763507,44.077239660989193,23.431677711999999
246,245,-93.530825436763507,44.077200660989192,22.267593172000002
247,246,-93.530825436763507,44.077161660989191,21.094800737000000
248,247,-93.530825436763507,44.077122660989197,19.426020092000002
249,248,-93.530825436763507,44.077083660989189,16.721049838999999
250,249,-93.530825436763507,44.077044660989195,18.273697535000000
251,250,-93.530825436763507,44.077005660989194,22.443558586999998
252,251,-93.530825436763507,44.076966660989186,20.916085984999999
253,252,-93.530825436763507,44.076927660989192,18.953048706000001
254,253,-93.530825436763507,44.076888660989191,18.418530358000002
255,254,-93.530825436763507,44.076849660989190,13.908874300000001
256,255,-93.530825436763507,44.076810660989189,11.427099864000001
257,256,-93.530786436763520,44.078019660989192,24.392937977999999
258,257,-93.530786436763520,44.077980660989198,23.117235183999998
259,258,-93.530786436763520,44.077941660989190,23.321461995000000
260,259,-93.530786436763520,44.077902660989189,23.706339094000001
261,260,-93.530786436763520,44.077863660989195,22.677486844000001
262,261,-93.530786436763520,44.077824660989201,22.748740302000002
263,262,-93.530786436763520,44.077785660989193,23.386980056999999
264,263,-93.530786436763520,44.077746660989192,22.799733268000001
265,264,-93.530786436763520,44.077707660989184,23.564666324000001
266,265,-93.530786436763520,44.077668660989190,24.761298708999998
267,266,-93.530786436763520,44.077629660989189,25.318726858000002
268,267,-93.530786436763520,44.077590660989195,23.905933168000001
269,268,-93.530786436763520,44.077551660989187,23.529250780999998
270,269,-93.530786436763520,44.077512660989193,24.991108787999998
271,270,-93.530786436763520,44.077473660989192,25.573905945000000
272,271,-93.530786436763520,44.077434660989191,24.665209875999999
273,272,-93.530786436763520,44.077395660989190,24.317720625000000
274,273,-93.530786436763520,44.077356660989189,23.257758458000001
275,274,-93.530786436763520,44.077317660989195,23.520885890999999
276,275,-93.530786436763520,44.077278660989194,24.285631179999999
277,276,-93.530786436763520,44.077239660989193,23.125046200000000
278,277,-93.530786436763520,44.077200660989192,22.318042967000000
279,278,-93.530786436763520,44.077161660989191,20.631656223000000
280,279,-93.530786436763520,44.077122660989197,20.545468012000001
281,280,-93.530786436763520,44.077083660989189,16.854249318000001
282,281,-93.530786436763520,44.077044660989195,17.000686328000000
283,282,-93.530786436763520,44.077005660989194,20.548630820000000
284,283,-93.530786436763520,44.076966660989186,20.069036484000002
285,284,-93.530786436763520,44.076927660989192,18.578483158000001
286,285,-93.530786436763520,44.076888660989191,17.832269668999999
287,286,-93.530786436763520,44.076849660989190,13.273448414000001
288,287,-93.530786436763520,44.076810660989189,10.997776349000000
289,288,-93.530747436763519,44.078019660989192,24.330750148000000
290,289,-93.530747436763519,44.077980660989198,23.011181513000000
291,290,-93.530747436763519,44.077941660989190,23.170753691000002
292,291,-93.530747436763519,44.077902660989189,24.270951376999999
293,292,-93.530747436763519,44.077863660989195,23.450178994000002
294,293,-93.530747436763519,44.077824660989201,24.417859607000000
295,294,-93.530747436763519,44.077785660989193,24.389057477000001
296,295,-93.530747436763519,44.077746660989192,24.200903998000001
297,296,-93.530747436763519,44.077707660989184,24.689552942999999
298,297,-93.530747436763519,44.077668660989190,25.812455707000002
299,298,-93.530747436763519,44.077629660989189,25.612642076000000
300,299,-93.530747436763519,44.077590660989195,24.075991312999999
301,300,-93.530747436763519,44.077551660989187,23.788661003000001
302,301,-93.530747436763519,44.077512660989193,24.712012396999999
303,302,-93.530747436763519,44.077473660989192,24.780050490000001
304,303,-93.530747436763519,44.077434660989191,23.878530290000000
305,304,-93.530747436763519,44.077395660989190,23.597369088000001
306,305,-93.530747436763519,44.077356660989189,22.129851023000001
307,306,-93.530747436763519,44.077317660989195,22.982211642999999
308,307,-93.530747436763519,44.077278660989194,24.135739009000002
309,308,-93.530747436763519,44.077239660989193,22.202393426000000
310,309,-93.530747436763519,44.077200660989192,22.062448925000002
311,310,-93.530747436763519,44.077161660989191,19.734884262000001
312,311,-93.530747436763519,44.077122660989197,19.630720350000001
313,312,-93.530747436763519,44.077083660989189,16.550736215000001
314,313,-93.530747436763519,44.077044660989195,16.316511471999998
315,314,-93.530747436763519,44.077005660989194,18.275657866000000
316,315,-93.530747436763519,44.076966660989186,18.065863926999999
317,316,-93.530747436763519,44.076927660989192,17.415670606999999
318,317,-93.530747436763519,44.076888660989191,16.810065587000000
319,318,-93.530747436763519,44.076849660989190,12.731374423000000
320,319,-93.530747436763519,44.076810660989189,10.918599553000000
321,320,-93.530708436763518,44.078019660989192,24.345173200000001
322,321,-93.530708436763518,44.077980660989198,23.717954636000002
323,322,-93.530708436763518,44.077941660989190,23.885232290000001
324,323,-93.530708436763518,44.077902660989189,25.589457194000001
325,324,-93.530708436763518,44.077863660989195,24.844987869000001
326,325,-93.530708436763518,44.077824660989201,25.837081591000000
327,326,-93.530708436763518,44.077785660989193,25.219632625999999
328,327,-93.530708436763518,44.077746660989192,24.817662875000000
329,328,-93.530708436763518,44.077707660989184,25.527048110999999
330,329,-93.530708436763518,44.077668660989190,26.483911196000001
331,330,-93.530708436763518,44.077629660989189,25.865317662999999
332,331,-93.530708436763518,44.077590660989195,24.783688862999998
333,332,-93.530708436763518,44.077551660989187,24.069588661000001
334,333,-93.530708436763518,44.077512660989193,24.393151601000000
335,334,-93.530708436763518,44.077473660989192,24.631505965999999
336,335,-93.530708436763518,44.077434660989191,23.525726954000000
337,336,-93.530708436763518,44.077395660989190,22.973730405000001
338,337,-93.530708436763518,44.077356660989189,21.978104591000001
339,338,-93.530708436763518,44.077317660989195,22.218447685000001
340,339,-93.530708436763518,44.077278660989194,23.069705486000000
341,340,-93.530708436763518,44.077239660989193,21.225783348000000
342,341,-93.530708436763518,44.077200660989192,20.638429960000000
343,342,-93.530708436763518,44.077161660989191,18.885297457000000
344,343,-93.530708436763518,44.077122660989197,18.479000092000000
345,344,-93.530708436763518,44.077083660989189,16.321651459000002
346,345,-93.530708436763518,44.077044660989195,16.361954212000001
347,346,-93.530708436763518,44.077005660989194,17.811462402000000
348,347,-93.530708436763518,44.076966660989186,17.233635902000000
349,348,-93.530708436763518,44.076927660989192,16.664988518000001
350,349,-93.530708436763518,44.076888660989191,15.654891014000000
351,350,-93.530708436763518,44.076849660989190,12.062878449999999
352,351,-93.530708436763518,44.076810660989189,11.129725138000000
353,352,-93.530669436763503,44.078019660989192,24.101752387000001
354,353,-93.530669436763503,44.077980660989198,24.556382921000001
355,354,-93.530669436763503,44.077941660989190,24.528822157000000
356,355,-93.530669436763503,44.077902660989189,26.504315269999999
357,356,-93.530669436763503,44.077863660989195,26.030177645999999
358,357,-93.530669436763503,44.077824660989201,26.795501073000001
359,358,-93.530669436763503,44.077785660989193,25.667694728000001
360,359,-93.530669436763503,44.077746660989192,25.154432085000000
361,360,-93.530669436763503,44.077707660989184,26.227439879999999
362,361,-93.530669436763503,44.077668660989190,26.627668169000000
363,362,-93.530669436763503,44.077629660989189,25.689222548000000
364,363,-93.530669436763503,44.077590660989195,25.149619844000000
365,364,-93.530669436763503,44.077551660989187,24.189845403000000
366,365,-93.530669436763503,44.077512660989193,23.933381186999998
367,366,-93.530669436763503,44.077473660989192,24.559007221000002
368,367,-93.530669436763503,44.077434660989191,23.776915232000000
369,368,-93.530669436763503,44.077395660989190,22.484268400000001
370,369,-93.530669436763503,44.077356660989189,21.376394695999998
371,370,-93.530669436763503,44.077317660989195,21.001798841999999
372,371,-93.530669436763503,44.077278660989194,21.644866943000000
373,372,-93.530669436763503,44.077239660989193,20.825410631000000
374,373,-93.530669436763503,44.077200660989192,18.852658378000001
375,374,-93.530669436763503,44.077161660989191,18.227704790000001
376,375,-93.530669436763503,44.077122660989197,17.579510371000001
